fips,name
9,Connecticut
23,Maine
25,Massachusetts
33,New Hampshire
44,Rhode Island
50,Vermont
34,New Jersey
36,New York
42,Pennsylvania
17,Illinois
18,Indiana
26,Michigan
39,Ohio
55,Wisconsin
19,Iowa
20,Kansas
27,Minnesota
29,Missouri
31,Nebraska
38,North Dakota
46,South Dakota
10,Delaware
11,District of Columbia
12,Florida
13,Georgia
24,Maryland
37,North Carolina
45,South Carolina
51,Virginia
54,West Virginia
1,Alabama
21,Kentucky
28,Mississippi
47,Tennessee
5,Arkansas
22,Louisiana
40,Oklahoma
48,Texas
4,Arizona
8,Colorado
16,Idaho
30,Montana
32,Nevada
35,New Mexico
49,Utah
56,Wyoming
2,Alaska
6,California
15,Hawaii
41,Oregon
53,Washington